0.7,-0.7,2.6
0.4,-1.0,1.4
0.7,-0.7,2.9
0.6,-0.9,1.7
0.3,-0.7,0.3
0.6,-0.8,1.8
0.38,-1.17,1.19
0.6,-0.8,1.9
0.5,-1.0,1.2
0.4,-0.8,0.7
0.3,-0.7,0.0
0.5,-1.0,1.7
0.6,-0.7,2.3
0.3,-0.7,-0.0
0.4,-0.8,0.9
0.6,-0.7,2.2
0.3,-0.7,0.3
0.4,-0.7,0.3
0.5,-1.0,1.3
0.3,-0.8,0.4
0.8,-0.7,2.7
0.8,-0.7,2.5
0.6,-0.9,1.9
0.8,-0.7,2.9
0.3,-0.8,0.9
0.5,-0.8,1.3
0.6,-0.7,2.1
0.3,-1.2,0.8
0.3,-0.7,0.7
0.3,-0.8,0.9
0.5,-0.8,1.5
0.7,-0.7,2.9
0.4,-1.0,1.6
0.6,-0.8,1.8
0.4,-0.9,1.2
0.3,-0.7,-0.0
0.8,-0.7,2.9
0.7,-0.7,2.4
0.3,-0.8,0.5
0.7,-0.7,2.4
0.3,-0.8,0.4
0.3,-0.7,0.2
0.1,-0.8,0.8
0.3,-0.8,0.9
0.6,-0.8,2.2
0.4,-1.0,1.6
0.4,-0.9,1.0
0.5,-0.8,1.49
0.4,-0.9,1.1
0.5,-0.9,1.8
0.7,-0.8,2.5
0.4,-0.9,1.3
0.5,-1.0,1.2
0.5,-0.8,1.7
0.4,-1.0,1.6
0.3,-0.9,1.1
0.5,-1.0,1.5
0.5,-0.8,1.7
0.5,-0.9,1.7
0.5,-1.0,1.69
0.6,-0.8,2.0
0.5,-0.8,1.5
0.6,-0.7,2.4
0.4,-0.7,0.6
0.4,-1.0,1.5
0.5,-0.9,1.2
0.8,-0.7,2.7
0.5,-1.0,1.6
0.4,-0.7,0.3
0.4,-0.9,1.3
0.3,-0.8,0.6
0.3,-0.8,1.0
0.6,-0.9,1.5
0.5,-1.0,1.8
0.4,-0.8,0.97
0.6,-0.7,2.4
0.3,-0.7,0.0
0.8,-0.7,2.5
0.4,-0.7,0.5
0.8,-0.7,3.1
0.5,-0.9,1.5
0.3,-0.9,1.2
0.7,-0.7,2.5
0.3,-0.8,1.0
0.5,-1.0,1.8
0.3,-0.7,-0.0
0.4,-0.7,0.6
0.1,-0.8,0.8
0.5,-0.9,1.41
0.8,-0.7,3.0
0.4,-0.9,0.9
0.4,-0.8,0.7
0.5,-1.0,1.5
0.5,-1.0,1.2
0.3,-0.9,0.7
0.4,-0.9,0.8
0.6,-0.9,1.5
0.3,-0.8,0.5
-0.3,0.9,1.5
0.4,-0.8,1.2
0.4,-0.9,1.2
0.7,-0.7,3.0
0.7,-0.8,2.5
0.5,-1.0,1.69
0.7,-0.8,2.6
0.4,-0.7,0.6
0.6,-0.7,2.2
0.4,-0.9,1.5
0.4,-0.7,0.5
0.7,-0.7,3.0
0.8,-0.7,-3.1
0.7,-0.7,2.9
0.3,-0.7,0.6
0.5,-0.9,1.7
0.6,-0.9,1.91
0.3,-0.8,0.4
-0.1,0.5,-2.1
0.3,-0.9,0.8
0.3,-0.8,1.0
0.8,-0.7,2.5
0.5,-1.0,1.7
0.6,-0.9,1.6
0.8,-0.7,2.6
0.5,-0.8,1.3
0.7,-0.7,2.4
-0.8,-0.5,-0.4
0.3,-0.7,0.3
0.4,-1.0,1.6
0.5,-0.9,1.6
0.57,-0.96,1.42
0.6,-0.9,1.8
0.6,-0.9,1.8
0.3,-0.9,1.2
0.4,-0.9,1.1
0.3,-0.7,0.0
0.4,-0.9,1.1
0.5,-1.0,1.3
0.6,-0.8,2.0
0.4,-0.9,1.4
0.5,-0.9,1.6
0.5,-1.0,1.2
0.5,-1.0,1.8
0.3,-0.7,0.3
0.4,-1.0,1.0
0.3,-0.7,0.1
0.3,-0.7,0.58
0.3,-0.9,0.7
0.8,-0.7,2.6
0.6,-0.9,1.7
0.4,-1.0,1.0
0.3,-0.7,0.3
0.5,-0.8,1.49
0.8,-0.0,2.7
0.3,-0.9,0.6
0.3,-0.8,0.9
0.8,-0.7,2.81
0.6,-0.7,2.3
0.4,-0.8,0.8
0.5,-0.9,1.4
0.4,-0.8,0.8
0.5,-0.8,1.3
-0.0,-0.8,-1.7
0.4,-0.7,0.4
0.7,-0.69,2.77
0.6,-0.8,2.2
0.56,-0.96,1.59
0.6,-0.9,1.6
0.3,-0.8,0.71
0.4,-0.9,1.1
0.6,-0.8,1.9
0.5,-0.9,1.2
